Org Number,Legal Name,SNI Code,sni_2digit,division_interval,section_code,section_desc,sni_category
ORG_01523,Company_01523,62010,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_01549,Company_01549,69102,69,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_01552,Company_01552,70220,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_01568,Company_01568,49410,49,49-53,H,TRANSPORTATION AND STORAGE,49-53 H - TRANSPORTATION AND STORAGE
ORG_01570,Company_01570,63910,63,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_01588,Company_01588,71124,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_01591,Company_01591,66190,66,64-66,L,FINANCIAL AND INSURANCE ACTIVITIES,64-66 L - FINANCIAL AND INSURANCE ACTIVITIES
ORG_01596,Company_01596,26510,26,10-33,C,MANUFACTURING,10-33 C - MANUFACTURING
ORG_01597,Company_01597,62020,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_01602,Company_01602,47712,47,46-47,G,WHOLESALE AND RETAIL TRADE,46-47 G - WHOLESALE AND RETAIL TRADE
ORG_01603,Company_01603,70220,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
